geoid,medrent90,medrent00,medrent16,medhval90,medhval00,medhval16,percol90,percol00,percol16,pernwh90,pernwh00,pernwh16,perli90,perli00,perli16,per_rent_90,per_rent_00,per_rent16,pop00,pop16,asian_16_low,carcommuters_00,pre50_16,hhwch16,empd15,density16,aland,li16,afford90,belowmedcol90,abovemednwh,abovemedli,abovemedrent,vulnrisk90,vuln90,afford00,belowmedcol00,abovemednwh00,abovemedli00,abovemedrent00,vulnrisk00,vuln00,afford16,belowmedcol16,abovemednwh16,abovemedli16,abovemedrent16,vulnrisk16,vuln16,hotmarket90(127%-169%),hotmarket00(110%-207%),percol16,edudiff0016,abm_dif_0016,edudiff9000,abm_dif_9000,hinc90_NYU,hinc00_NYU,hinc16_NYU,hinc90,hinc00,hinc16,pct_ch_hinc90_00,pct_ch_hinc00_16,abm_inc_90_00,abm_inc_00_16,li16,gent90_00,gent00_16,ch_all_li_count90_00,ch_all_li_count00_16,liloss9016,per_limove16,per_limove09,exclusion,popgrowth0016,Incch0016,li_hh_16
9001021400,599,829,1623,190100,179100,357000,0.132,0.108216433,0.243070826,0.555241294,0.720622935,0.771276593,0.255243932,0.252767543,0.62426573,0.728288471,0.732478241,0.615896821,6357,6956,0.041834388,0.623842593,0.125436893,0.390761548,6253,0.004240318,1640443,1,0,1,1,1,1,1,0,1,0,1,1,0,FALSE,0,0,1,1,1,1,1,0,1,1,0.090259244,-0.017957189,0,-0.023783567,1,31028,41627,55101,56878.332,60359.15,55101,0.061197609,-0.087114379,1,0,1,0,0,122.2598877,156.598877,0,0.684590817,0.841585279,1,1,0.912885619,1500.1106
9001021500,595,856,1376,177600,162200,247800,0.091856861,0.054541086,0.127161175,0.775756516,0.885371495,0.874851823,0.256746667,0.266566821,0.698243439,0.763617677,0.761641309,0.809066653,6918,5905,0.015071973,0.488091354,0.1953969,0.4992,881,0.007689052,767975,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.12716118,0.072620094,1,-0.037315775,0,31875,36174,42423,58331.24918,52452.3,42423,-0.100785583,-0.191208005,0,0,1,0,0,324.5861816,-224.112915,0,0.713046849,0.847117186,1,0,0.808791988,1309.2064
9001021600,875,1322,1843,162500,133700,317300,0.448079034,0.332787891,0.676966786,0.297817494,0.453255557,0.567650855,0.236254034,0.218431704,0.367770731,0.761626016,0.798173516,0.73401165,6343,7790,0.275738126,0.709403781,0.170940171,0.24622093,5446,0.009638071,808253,0,0,0,1,1,1,1,0,1,0,1,1,0,FALSE,0,1,0,1,0,1,FALSE,0,1,1,0.67696679,0.344178899,1,-0.115291143,0,41229,58881,90000,75449.06718,85377.45133,90000,0.131590545,0.054142501,1,1,0,0,0,231.2434082,-228.6560059,0,0.483048499,0.498728663,1,1,1.0541425,1265.1313
9001021700,765,1061,1631,232400,141000,311100,0.417199303,0.243468716,0.619951606,0.438875572,0.519826,0.56690234,0.194312296,0.207763733,0.430720925,0.718930041,0.756468305,0.766248286,5977,7354,0.177318466,0.618935607,0.109490855,0.164853557,6616,0.009463097,777124,1,0,0,1,1,1,1,0,1,0,1,1,0,FALSE,0,1,0,1,1,1,1,1,1,1,0.61995161,0.376482894,1,-0.173730587,0,40753,47311,80902,74577.99035,68600.95,80902,-0.08014483,0.179313108,0,1,0,0,0,517.1466064,-143.5943604,0,0.676197052,0.564320147,0,1,1.179313114,1544.1345
9001021801,846.000005,1143,1709,213799.9941,190700,336100,0.133921504,0.36995104,0.465483248,0.13521713,0.33598503,0.588086486,0.17925894,0.4181447,0.516417444,0.151808858,0.34223706,0.341845632,4274,4348,0,0,0.2360515,0,900.4377607,0.00441997,983717,1,0,1,0,1,0,FALSE,0,1,0,1,0,0,FALSE,0,0,0,1,1,0,FALSE,0,1,1,0.46548325,0.09553221,1,0.236029536,1,#N/A,#N/A,#N/A,86462.00662,85287.55,67031,-0.013583499,-0.214058787,0,0,0,0,0,480.9762878,138.3812256,0,0.684801877,0.722654223,1,1,0.785941207,889.78723
9001021802,845.9999712,886,1303,213799.9933,170700,315600,0.188823164,0.20309225,0.326572597,0.190649927,0.57937926,0.583872259,0.25274688,0.53982723,0.599753737,0.214043513,0.4284299,0.405235589,5606,4948,0,0,0.24208476,0,3751.210634,0.00344706,1435426,1,0,0,1,1,0,FALSE,0,1,0,1,0,0,FALSE,0,1,1,1,1,0,1,1,0,1,0.3265726,0.12348035,1,0.014269086,1,#N/A,#N/A,#N/A,86462.01397,66353.45,55400,-0.23257108,-0.165077329,0,0,1,0,0,552.3048706,55.61853027,0,0.802025139,0.799049139,0,0,0.834922676,1145.5297
9001021900,936,1131,1948,233100,247800,409700,0.312635575,0.246146196,0.314004123,0.129872753,0.259072204,0.592458785,0.198078395,0.199464534,0.592065692,0.378536585,0.412864964,0.430067003,5346,6365,0.070070699,0.827759197,0.219178082,0.369765494,1161,0.002959079,2151007,1,0,0,0,1,0,FALSE,0,1,0,1,1,0,FALSE,0,0,1,1,1,0,1,0,0,1,0.132364393,-0.113781803,0,-0.066489379,0,45823,64468,57165,83956.40466,93478.6,57165,0.113418333,-0.388469666,1,0,0,0,0,-88.67236328,615.8204346,0,0.786853313,0.717487395,0,1,0.61153034,1413.8529
9001022000,747,955,1437,169900,140800,253700,0.158671587,0.137609933,0.351106644,0.346223347,0.489316239,0.608165979,0.23962598,0.249868348,0.597863078,0.502278943,0.489938758,0.574468076,2808,3037,0.040171222,0.845732185,0.168240343,0.407156673,1417,0.004123916,736436,1,0,1,1,1,1,1,0,1,0,1,1,0,FALSE,0,1,0,1,1,1,1,1,1,1,0.166914971,0.029305038,0,-0.021061654,1,36370,49704,54250,66557.09992,72070.8,54250,0.08284165,-0.247267962,1,0,1,0,0,8.570068359,10.42248535,0,0.869808197,0.908807278,1,1,0.752732036,618.19043
9001022100,769,979,1524,218300,244400,447200,0.198954124,0.152619099,0.26528278,0.342941999,0.571984436,0.709387779,0.181101945,0.149771567,0.579724431,0.633820459,0.636363636,0.693548381,6939,8575,0.023090379,0.657796853,0.252831446,0.376115305,3043,0.004274478,2006093,1,0,0,1,1,1,1,0,1,0,1,1,0,FALSE,0,0,1,1,1,1,1,0,1,1,0.089919285,-0.062699814,0,-0.046335025,0,39853,56224,60330,72936.05322,81524.8,60330,0.117757216,-0.259979785,1,0,0,0,0,75.64282227,488.1375732,0,0.748290777,0.831486166,1,1,0.740020215,1689.317
9001022200,843,876,1728,166300,188100,306700,0.096690796,0.059797117,0.305136979,0.842396313,0.81300813,0.711951673,0.264223036,0.265528764,0.552226722,0.797558494,0.846401719,0.918851435,3075,4468,0.019695613,0.459831676,0.27357999,0.31772784,4614,0.003097656,1442381,1,0,1,1,1,1,1,0,1,0,1,1,0,FALSE,0,1,1,1,1,1,1,1,0,1,0.10760274,0.047805623,0,-0.036893679,0,31426,37898,58889,57509.57959,54952.1,58889,-0.044470496,0.071642391,0,1,0,0,0,9.122741699,222.7537842,0,0.693708956,0.821557283,1,1,1.071642394,884.66724
