,ag25up,hh00,hh16,hu16,mhval00,mhval00_16,mhval16,mhval90,mhval90_00,moe_hh16,moe_hinc16,moe_hu16,moe_mhval16,moe_mrent16,moe_pop16,moe_renter16,mrent00,mrent00_16,mrent16,mrent90,mrent90_00,ohu00,ohu16,ohu90,per_rent00,per_rent16,per_rent90,pop00,pop16,pop90,rhu16,GEOID,clusters
1700,1058.0,671.0,672.0,736.0,191700.0,-1.0,0.0,0.0,0.0,41.0,8974.0,16.0,0.0,76.0,221.0,43.0,776.0,0.7925257682800293,1391.0,589.9999972525984,0.31525424122810364,18.0,8.0,22.0,0.9731743931770325,0.988095223903656,0.966360867023468,1486.0,1508.0,1393.0,664.0,36081015700,3
1701,2572.0,1375.0,1341.0,1420.0,306500.0,1.5210440158843994,772700.0,226800.0,0.3514109253883362,94.0,10156.0,66.0,85877.0,129.0,368.0,101.0,835.0,0.8011975884437561,1504.0,574.0,0.45470383763313293,322.0,232.0,266.0,0.765818178653717,0.826994776725769,0.7941176295280457,3219.0,3227.0,2857.0,1109.0,36081014700,9
1702,1311.0,619.0,547.0,610.0,198800.0,0.8848088383674622,374700.0,141300.00105276704,0.40693560242652893,59.0,14529.0,39.0,64123.0,246.0,250.0,58.0,816.0,0.8700980544090271,1526.0,660.0000049173832,0.23636363446712494,294.0,314.0,250.0,0.5250403881072998,0.4259597659111023,0.472573846578598,2272.0,2051.0,1747.0,233.0,36081014800,2
1703,2698.0,1711.068359375,1465.0,1614.0,71799.9997780644,3.2298049926757812,303700.0,89599.99687655375,-0.1986606866121292,94.0,8371.0,29.0,49067.0,99.0,367.0,105.0,793.999965927294,0.9962217211723328,1585.0,498.99999399147066,0.591182291507721,347.09637451171875,255.0,347.0964050292969,0.7971464395523071,0.8259385824203491,0.4185084402561188,4102.0,3491.0,3641.8583984375,1210.0,36081018502,6
1704,2916.0,1655.5250244140625,1716.0,1742.0,227400.0060761138,1.7066842317581177,615500.0,216000.00754210397,0.05277777090668678,84.0,3360.0,74.0,41703.0,77.0,337.0,103.0,360.00000838483686,0.5416666269302368,555.0,398.9999870465986,-0.09774430841207504,140.5352325439453,147.0,151.4989776611328,0.9151113629341125,0.9143356680870056,0.9084691405296326,4409.41748046875,3788.0,5123.0576171875,1569.0,36081016300,9
1705,2278.0,1059.0,1092.0,1141.0,184000.0,1.352717399597168,432900.0,159899.99821297824,0.15071921050548553,72.0,15202.0,51.0,58129.0,131.0,491.0,108.0,808.0,0.5829207897186279,1279.0,594.9999933503568,0.35798320174217224,560.0,542.0,446.0,0.47119924426078796,0.5036630034446716,0.5260361433029175,3723.0,3625.0,3003.0,550.0,36081016600,2
1706,2265.0,801.0,860.0,892.0,171600.0,1.1684149503707886,372100.0,143000.0010987278,0.19999998807907104,39.0,13355.0,28.0,15125.0,265.0,267.0,68.0,721.0,0.850208044052124,1334.0,654.000005024951,0.10244647413492203,539.0,599.0,495.0,0.32709112763404846,0.3034883737564087,0.2028985470533371,2827.0,3235.0,2182.0,261.0,36081016800,2
1707,1272.0,509.0,498.0,547.0,151500.0,1.3537954092025757,356600.0,106300.00079199672,0.42521166801452637,40.0,30988.0,15.0,21454.0,152.0,272.0,47.0,983.0,0.713123083114624,1684.0,713.000005312264,0.37868162989616394,430.0,396.0,358.0,0.15520629286766052,0.20481927692890167,0.2678936719894409,1680.0,2063.0,1538.0,102.0,36081018600,2
1708,985.0,410.0,403.0,434.0,154200.0,1.5888456106185913,399200.0,133699.99900385737,0.15332835912704468,32.0,11382.0,12.0,44613.0,108.0,181.0,45.0,710.0,0.8999999761581421,1349.0,593.9999955743551,0.19528619945049286,277.0,245.0,296.0,0.3243902325630188,0.3920595645904541,0.20000000298023224,1311.0,1493.0,1289.0,158.0,36081018800,2
1709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.1453094482422,0.0,36081017100,6
1710,1608.0,610.5982055664062,645.0,658.0,179699.99715222148,1.2943795919418335,412300.0,141999.99781580013,0.2654929459095001,34.0,10150.0,27.0,32039.0,113.0,332.0,56.0,809.9999850405917,0.4135802686214447,1145.0,491.00000258219995,0.6496944427490234,413.7277526855469,441.0,391.7422180175781,0.3224222660064697,0.3162790834903717,0.22971132397651672,2053.648681640625,2333.0,1901.74853515625,204.0,36081017200,2
1711,1824.0,649.0,716.0,747.0,149900.0,1.4636424779891968,369300.0,112200.00041797757,0.33600711822509766,37.0,11745.0,30.0,27125.0,435.0,266.0,53.0,790.0,0.8012658357620239,1423.0,633.0000023581088,0.24802526831626892,459.0,574.0,399.0,0.2927580773830414,0.1983240246772766,0.2912966310977936,2105.0,2602.0,2018.0,142.0,36081018200,2
1712,1515.0,635.0,634.0,729.0,148400.0,1.2783018350601196,338100.0,112200.00031348318,0.3226381540298462,58.0,9933.0,20.0,18746.0,98.0,290.0,60.0,826.0,0.6900726556777954,1396.0,595.0000016624108,0.38823530077934265,471.0,434.0,430.0,0.25826773047447205,0.31545740365982056,0.22800718247890472,1986.0,2092.0,1914.0,200.0,36081019200,2
1713,4302.0,2070.126220703125,1829.0,2071.0,261799.99801389367,1.2773109674453735,596200.0,245000.00692454202,0.06857138872146606,107.0,7481.0,76.0,36418.0,132.0,493.0,119.0,855.999959858867,0.8072430491447449,1547.0,775.9999954787548,0.1030927374958992,982.103515625,817.0,779.039306640625,0.5255828499794006,0.553307831287384,0.33648812770843506,6614.0,6379.0,4879.80712890625,1012.0,36081030903,9
