,GEOID,geometry,yelloCabCount,greenCabCount
1788,36081053401,"POLYGON ((-73.74049999987507 40.70343499982543, -73.74077700005847 40.702680000082, -73.74104599987299 40.70198100022303, -73.7411429998495 40.70180800033892, -73.7413949997794 40.70132999987962, -73.74167700019335 40.70079699958195, -73.74197100026144 40.70024100002213, -73.74226600037566 40.69965600002444, -73.74232699959138 40.69952600032464, -73.74302700039573 40.69786700026189, -73.74327900032563 40.69713000044916, -73.74359300041662 40.69621499962258, -73.74458400025145 40.69636400019846, -73.74523699978766 40.69637499980644, -73.74618999966872 40.69611899969209, -73.74649400019791 40.69679999962036, -73.74681899989689 40.69752499977893, -73.74712399957289 40.69819800023758, -73.74741200026357 40.69884400035036, -73.74772999963973 40.69955299977114, -73.7467749996665 40.69980100041587, -73.74588800013107 40.70003000018444, -73.74500099969637 40.70026200009128, -73.74590900020023 40.70228699994512, -73.74502399985771 40.70251799980588, -73.74413400018392 40.70274200024318, -73.74386200023115 40.70281099982781, -73.74330699981822 40.70296000040369, -73.74287399963532 40.70307500031106, -73.74167600014727 40.70338400017151, -73.74148799957153 40.70343199968708, -73.74129299957227 40.70346400026339, -73.74109300024175 40.7034810001481, -73.74087800021952 40.7034810001481, -73.74069299978215 40.70346600035567, -73.74049999987507 40.70343499982543))",0,1
1789,36081053900,"POLYGON ((-73.9130380002036 40.71333200027164, -73.91225299997593 40.71286400027342, -73.91116200002627 40.7122139999761, -73.91086299972761 40.71204000004599, -73.91041299966027 40.71177799965501, -73.91022499998371 40.71138799965649, -73.90996299959275 40.71105699968088, -73.91117899991087 40.70986799970844, -73.91229099992968 40.70878199998932, -73.91343499962555 40.70766000040869, -73.91436100006011 40.7067550000432, -73.91551300012488 40.70562600013977, -73.91625300007588 40.70606599974612, -73.91699500011916 40.70650300011339, -73.91773700016243 40.70694299971974, -73.91847700011344 40.70738200017919, -73.91922200029506 40.70781500036201, -73.91996000015388 40.70825700006054, -73.92070100015098 40.70869499957462, -73.92143499982537 40.70912899980353, -73.92189200021569 40.70939600042514, -73.92074500038147 40.71052999965975, -73.92122099984923 40.71079100000464, -73.92154600044756 40.71104299993454, -73.92161276558737 40.71144596015556, -73.92168699975527 40.71189399960839, -73.92223299975311 40.71285399981225, -73.92313700007249 40.71339599962572, -73.92404000034573 40.71400799996928, -73.92076400035835 40.71382200038502, -73.91950199971747 40.71373399992423, -73.91634499982183 40.71351599976355, -73.91566299984757 40.71346900029417, -73.91466999992056 40.71343699971784, -73.91395100003861 40.71339000024837, -73.9130380002036 40.71333200027164))",0,3
1790,36081053500,"POLYGON ((-73.90966000000901 40.71779300004699, -73.90976300026223 40.71773700016244, -73.91003900039955 40.7175840003014, -73.91006199966161 40.71762799963251, -73.91013799956902 40.71767900018571, -73.91058000016685 40.71745499974849, -73.91118700027987 40.71694699970423, -73.91148100034788 40.71668800035098, -73.91173899965513 40.71641000012148, -73.91175799963202 40.71638900005233, -73.91177899970108 40.71636699993709, -73.91187499963149 40.7162629996377, -73.91225099988375 40.71590500021559, -73.91253899967506 40.71567000017038, -73.9128919997659 40.71540300044815, -73.9127959998355 40.71534000024086, -73.91274200004331 40.71530899971055, -73.91173899965513 40.71472399971287, -73.91159500020909 40.7146410003819, -73.910157999592 40.71382200038502, -73.91054200021317 40.71342700015595, -73.91069800021249 40.71326900006436, -73.91077800030446 40.7131879999263, -73.9130380002036 40.71333200027164, -73.91395100003861 40.71339000024837, -73.91466999992056 40.71343699971784, -73.91566299984757 40.71346900029417, -73.91634499982183 40.71351599976355, -73.91950199971747 40.71373399992423, -73.92076400035835 40.71382200038502, -73.92404000034573 40.71400799996928, -73.92405900032259 40.71411200026859, -73.92424099972233 40.71512600026472, -73.92432700009103 40.71556799996326, -73.92273899970509 40.71615800019158, -73.92271100021249 40.71647799966001, -73.9223279996375 40.71659699975175, -73.92153800007867 40.71679499988937, -73.91930899981048 40.71741699979472, -73.91805000020732 40.71776499965504, -73.91516700035675 40.71855500011315, -73.91426500012962 40.7188110002275, -73.91339799971789 40.71905099960397, -73.91232100041384 40.71934799981035, -73.91152499967899 40.71956800006321, -73.91132100016404 40.71962399994767, -73.91070200039694 40.71893299955832, -73.90966000000901 40.71779300004699))",0,1
1791,36081054000,"POLYGON ((-73.73553900042445 40.71185999983916, -73.736397999568 40.71212699956141, -73.73645500039791 40.71204200013826, -73.73756999965573 40.71168399981678, -73.73764899970162 40.71166199970154, -73.73941900038658 40.71109999986509, -73.73995099973888 40.71092800002726, -73.74040099980631 40.7107760002123, -73.74084699968928 40.71063199986696, -73.74130300003344 40.71048800042091, -73.74214100000712 40.71024800014516, -73.74305099970387 40.71004699986918, -73.74334499977189 40.7099859997541, -73.74396300039217 40.70985600005438, -73.74429999974522 40.7097840003314, -73.7448580002965 40.70966999957082, -73.7451809999032 40.70959999994012, -73.74580099971638 40.70947100028649, -73.7468179998508 40.7091319999419, -73.74715900028757 40.70994799980042, -73.74777800005467 40.71143700011751, -73.74879700028136 40.71390000038472, -73.74903400041882 40.71446100017499, -73.74934500037146 40.71514500024161, -73.74844400019049 40.71534599961822, -73.7470170000345 40.7156080000092, -73.74653999962129 40.71576299996251, -73.74564599976307 40.71595599986951, -73.74545199980999 40.71600200019218, -73.74449000041314 40.71578700016995, -73.74394799970038 40.71567500040102, -73.74303900004981 40.7153980002176, -73.74164100033185 40.7150169997348, -73.74107300021878 40.71485200021968, -73.74021500022212 40.71460000028978, -73.7389290002731 40.71422199994533, -73.73811799974584 40.71398499980795, -73.73665999995899 40.71355299967122, -73.73585599975462 40.71330499992586, -73.73491100024246 40.71302499960409, -73.73553900042445 40.71185999983916))",0,0
1792,36005014702,"POLYGON ((-73.90121199983396 40.83549799973293, -73.90134999990256 40.83531100010266, -73.90185599985456 40.83462199980548, -73.90352100019403 40.83500999971174, -73.90463400025885 40.83533600035617, -73.90578400023144 40.83572400026242, -73.90601199995382 40.83580799963956, -73.90740200020215 40.83623200030658, -73.90693999958127 40.83696900011932, -73.9059790002306 40.83850499990588, -73.90522899981852 40.83826499963005, -73.90484199995836 40.83815599999939, -73.9045089998904 40.83801799993078, -73.90333799984874 40.83764199967851, -73.9019669995774 40.83717199958819, -73.90248299999045 40.83648700037475, -73.9029059997121 40.8359269997313, -73.90198899969255 40.83569399977828, -73.90121199983396 40.83549799973293))",0,6
1793,36081063700,"POLYGON ((-73.85729800000269 40.7114649996101, -73.85714300004939 40.71099100023453, -73.85667700014343 40.70769200008574, -73.85594000033069 40.70639499962954, -73.85717199958806 40.70598899979251, -73.85821500002227 40.70560199993235, -73.86015599959968 40.70474600002787, -73.86197299975412 40.7039510002385, -73.86288100025796 40.70356699961742, -73.86325400037187 40.70339199964105, -73.86379400009298 40.70333399966432, -73.86413499963048 40.70572100002418, -73.86426900041401 40.7066859995593, -73.86520699960336 40.7066689996746, -73.86613099994564 40.70665599997443, -73.86703700035731 40.70664200022809, -73.8686419997285 40.70663099972093, -73.86901499984232 40.70676999983564, -73.86903199972701 40.7068259997201, -73.86910999972672 40.70708900015726, -73.86949699958689 40.70787200029265, -73.86989099976985 40.70850899999035, -73.8701649998149 40.70920799984933, -73.86661799992075 40.71040200005231, -73.86557699957882 40.71065900021274, -73.8650100004112 40.71077700025839, -73.86207900014568 40.71220100027594, -73.859631999717 40.71359799994779, -73.85965399983225 40.7133799997872, -73.85971299985506 40.71260600006688, -73.85975900017772 40.71184500004673, -73.85818699963031 40.71160000043973, -73.85729800000269 40.7114649996101))",1,7
1794,36081063800,"POLYGON ((-73.72754200036302 40.67415999968423, -73.72757400004005 40.67404199963859, -73.72760899985545 40.67386300037713, -73.72773618711412 40.67322142894852, -73.72776699994704 40.6730659995962, -73.72791699966982 40.67233900024472, -73.72807000043015 40.67160799980935, -73.72794099987723 40.67080899983551, -73.72792600008481 40.67009700027639, -73.72799200043045 40.66942699995609, -73.72812800040688 40.66870800007424, -73.72826400038332 40.66807299956935, -73.7282220002451 40.66731399964137, -73.72826400038332 40.66660600026678, -73.72827199985294 40.6664399998062, -73.72980699959339 40.66643200033658, -73.73125399977219 40.6664399998062, -73.73176299986254 40.66659999999006, -73.73191999990803 40.66655599975958, -73.73380599964717 40.66657799987482, -73.73483700042721 40.66657499973645, -73.73586300007743 40.66657999996708, -73.73598100012299 40.66659199962106, -73.73610200030708 40.66659299966725, -73.73622200044491 40.66658100001317, -73.73633800039838 40.66655699980567, -73.73644800007511 40.66652199999036, -73.73625600021421 40.66627700038327, -73.73842899969857 40.66627000006046, -73.73855900029766 40.6663969996219, -73.73992899962364 40.66640099980635, -73.74022099959939 40.66640099980635, -73.74043200033653 40.66640099980635, -73.7411779996649 40.66640299989853, -73.74080400040425 40.66684399955097, -73.73993299980809 40.6677639997089, -73.73922000020286 40.66851900035161, -73.73899999995001 40.66874900016627, -73.73869899955918 40.66906799958853, -73.73850100032092 40.66928499970302, -73.73823599979158 40.66953200030158, -73.73798399986168 40.6698089995857, -73.73775800023155 40.67005800027653, -73.73754700039377 40.67033400041385, -73.73735499963351 40.6706190000668, -73.73718399984176 40.67090999999655, -73.7368580000966 40.67108299988057, -73.73623300005289 40.67166299964772, -73.73590300012336 40.67241400010607, -73.73624899989139 40.67263100022048, -73.73597499984635 40.67256699996712, -73.73561899961715 40.67313099989575, -73.73505899987298 40.67398999993858, -73.73465900031256 40.67384699963933, -73.73459800019756 40.67382500042346, -73.73432700029086 40.67372899959368, -73.7335070002478 40.67359000037825, -73.73277199962804 40.67362900037811, -73.73178099979333 40.67379900012386, -73.73064100028192 40.67398199956968, -73.73032900028319 40.67402599980007, -73.72953300044763 40.67415700044523, -73.72854399980572 40.67418900012228, -73.72754200036302 40.67415999968423))",0,0
1795,36081063900,"POLYGON ((-73.86325400037187 40.70339199964105, -73.86288100025796 40.70356699961742, -73.86197299975412 40.7039510002385, -73.86015599959968 40.70474600002787, -73.85821500002227 40.70560199993235, -73.85717199958806 40.70598899979251, -73.85594000033069 40.70639499962954, -73.85474600012782 40.70676699969727, -73.85473399957438 40.70524499965705, -73.85470900022023 40.705222000395, -73.85396299999242 40.70457900042057, -73.85375600033917 40.70437700009851, -73.85369200008572 40.70431499993733, -73.85355199992483 40.70413299963823, -73.85343700001755 40.70398700009999, -73.85274400043521 40.70310399984974, -73.85267900013575 40.70302199966558, -73.85215100006853 40.70225100008363, -73.85529300017183 40.70259599980558, -73.85529200012564 40.70184400020042, -73.85630800021407 40.70183799992378, -73.85691400028081 40.70188500029253, -73.85702800014209 40.70116999969576, -73.85739199984091 40.70121399992615, -73.85827400004509 40.70122400038732, -73.85861400043576 40.70125900020273, -73.85819900018375 40.70291099994267, -73.85853200025161 40.70294999994252, -73.85874700027385 40.70297400015003, -73.85997500024605 40.70310900008037, -73.86036999957582 40.7031510002185, -73.86068199957464 40.70318399994171, -73.86142299957173 40.70327000031032, -73.86279699998154 40.70336100001018, -73.86307700030331 40.70337999998706, -73.86325400037187 40.70339199964105))",1,5
1796,36081064101,"POLYGON ((-73.84907999964231 40.69835100009863, -73.84947800000964 40.69819600014532, -73.8499330003077 40.69808999975374, -73.85183800002363 40.69768199982451, -73.85266400034332 40.69757200014769, -73.85260999965176 40.69780500010071, -73.8526079995595 40.69796000005402, -73.85262400029738 40.69811399996116, -73.8527109998128 40.69841500035199, -73.85328600024869 40.69928700009498, -73.85377500031596 40.69991000004652, -73.85360100038586 40.69993500030004, -73.85356300043209 40.69994099967739, -73.85410100006112 40.70051400002109, -73.85411899999191 40.70070399978981, -73.85412500026854 40.7007649999049, -73.85396199994632 40.70077200022762, -73.85380900008528 40.70075300025083, -73.85370399973979 40.70072699995114, -73.85359199997077 40.70068299972066, -73.85332999957978 40.70060899990541, -73.85305999971919 40.70054999988258, -73.85278300043507 40.7005049996061, -73.85247399967533 40.70047399997515, -73.85222199974541 40.70046100027499, -73.85194000023084 40.70046300036717, -73.85166200000134 40.70047900020569, -73.85070599998193 40.70020800029899, -73.84907999964231 40.69835100009863))",0,0
1797,36081064102,"POLYGON ((-73.83714699973429 40.7079569997158, -73.83781199982394 40.70698699995013, -73.83787600007729 40.70691300013488, -73.83793300000795 40.70683400008909, -73.83798299961569 40.70675199990493, -73.83801100000765 40.70669299988202, -73.83805700033031 40.7065810001131, -73.83808199968455 40.70649299965221, -73.83809700037625 40.70640299999845, -73.83810399979978 40.70631300034466, -73.83810199970752 40.70622299979162, -73.83809100009962 40.70613300013793, -73.83807100007665 40.70604399963088, -73.83804299968469 40.70595600006938, -73.83796000035373 40.70578700036981, -73.83784599959326 40.70563000032431, -73.83733600035619 40.70486099993526, -73.83696200019619 40.70421199968411, -73.83843000044413 40.70338600026378, -73.83947800020948 40.7026899996438, -73.84156400017844 40.70110100011113, -73.84214399994568 40.7008700002503, -73.84293799968896 40.70055400006703, -73.8432020001722 40.7004000001599, -73.84359400026291 40.7001720004375, -73.84427400014501 40.6997810003929, -73.84502499970399 40.69935899981806, -73.84693799978882 40.69887099979677, -73.84701699983471 40.6988420002581, -73.84791099969284 40.69864700025892, -73.84822099959939 40.69854500005171, -73.84878100024294 40.69841899963716, -73.84907999964231 40.69835100009863, -73.85070599998193 40.70020800029899, -73.85166200000134 40.70047900020569, -73.85194000023084 40.70046300036717, -73.85222199974541 40.70046100027499, -73.85247399967533 40.70047399997515, -73.85278300043507 40.7005049996061, -73.85305999971919 40.70054999988258, -73.85332999957978 40.70060899990541, -73.85359199997077 40.70068299972066, -73.85370399973979 40.70072699995114, -73.85380900008528 40.70075300025083, -73.85396199994632 40.70077200022762, -73.85412500026854 40.7007649999049, -73.85411899999191 40.70070399978981, -73.85410100006112 40.70051400002109, -73.85356300043209 40.69994099967739, -73.85360100038586 40.69993500030004, -73.85377500031596 40.69991000004652, -73.85328600024869 40.69928700009498, -73.8527109998128 40.69841500035199, -73.85262400029738 40.69811399996116, -73.8526079995595 40.69796000005402, -73.85260999965176 40.69780500010071, -73.85266400034332 40.69757200014769, -73.85478800026603 40.69729700005654, -73.85567399975527 40.6971790000109, -73.85657199979795 40.69706500014961, -73.85744400044031 40.69691300033475, -73.85833099997564 40.69674399973581, -73.85928499990278 40.69655399996718, -73.86016399996859 40.69638500026752, -73.86245200025959 40.69599600031518, -73.86368699965531 40.6956909997399, -73.86455700020541 40.69551999994806, -73.8668139999661 40.69506499965009, -73.86871699958985 40.69462199990546, -73.86891699981965 40.69514999997251, -73.87068999974368 40.69766299984764, -73.87080200041197 40.69787699982369, -73.86931400014097 40.69935499963352, -73.86951999974821 40.70140599978714, -73.86911600000344 40.70160399992467, -73.86915600004939 40.70289300001196, -73.86903299977311 40.70290399961994, -73.86824300021428 40.70296999996557, -73.86724700014892 40.70305200014973, -73.86653799982878 40.70311000012646, -73.86563999978618 40.70318299989554, -73.86472799999714 40.70325899980306, -73.86379400009298 40.70333399966432, -73.86325400037187 40.70339199964105, -73.86307700030331 40.70337999998706, -73.86279699998154 40.70336100001018, -73.86142299957173 40.70327000031032, -73.86068199957464 40.70318399994171, -73.86036999957582 40.7031510002185, -73.85997500024605 40.70310900008037, -73.85874700027385 40.70297400015003, -73.85853200025161 40.70294999994252, -73.85819900018375 40.70291099994267, -73.85861400043576 40.70125900020273, -73.85827400004509 40.70122400038732, -73.85739199984091 40.70121399992615, -73.85702800014209 40.70116999969576, -73.85691400028081 40.70188500029253, -73.85630800021407 40.70183799992378, -73.85529200012564 40.70184400020042, -73.85529300017183 40.70259599980558, -73.85215100006853 40.70225100008363, -73.85267900013575 40.70302199966558, -73.85274400043521 40.70310399984974, -73.85343700001755 40.70398700009999, -73.85355199992483 40.70413299963823, -73.85369200008572 40.70431499993733, -73.85375600033917 40.70437700009851, -73.85396299999242 40.70457900042057, -73.85470900022023 40.705222000395, -73.85473399957438 40.70524499965705, -73.85474600012782 40.70676699969727, -73.85276599965117 40.70744200024819, -73.85109900011871 40.70790099983134, -73.85053300009781 40.70806700029183, -73.84951700000948 40.7083919999908, -73.84857599978251 40.70850699989818, -73.8476260000399 40.70840999992159, -73.846634000159 40.70839600017525, -73.84568000023175 40.7084799995523, -73.84394999959284 40.70893699994263, -73.84301599968857 40.70917600017228, -73.84220400001459 40.7090790001957, -73.8415769998786 40.70897800003467, -73.84144500008671 40.70895699996561, -73.84090999969676 40.70887599982754, -73.83975100020855 40.70869799971298, -73.83901100025744 40.70855500031302, -73.83714699973429 40.7079569997158))",0,0
1798,36081063301,"POLYGON ((-73.87164799985527 40.70268700040481, -73.87256199973646 40.7026119996441, -73.87351200037854 40.70253499969058, -73.87446300016731 40.70245699969078, -73.8754309998407 40.7023740003599, -73.8761620002761 40.70421499982248, -73.8763029995838 40.7044390002597, -73.8765209997443 40.70506100016505, -73.87676400015849 40.70564800025501, -73.87715700029537 40.7065729997442, -73.87721999960326 40.70668699960539, -73.87605499983835 40.70673399997414, -73.87491799956601 40.7068160001583, -73.87519299965716 40.70664699955945, -73.87515100041831 40.70654400020551, -73.87493899963516 40.70667499995132, -73.87424099982228 40.70672999978969, -73.87407900044552 40.70631400039085, -73.87335500033294 40.70455100002862, -73.87244299964473 40.70462799998224, -73.87164799985527 40.70268700040481))",4,0
1799,36061020901,"POLYGON ((-73.95210100026098 40.81144200014825, -73.95259100037435 40.81076500040452, -73.95307900039555 40.81009400003813, -73.9532769996338 40.80988000006199, -73.95357599993245 40.80947700036332, -73.95496600018078 40.8100639995539, -73.95680100026588 40.81083900021968, -73.95780799993923 40.8112640000336, -73.95743199968706 40.81177900040057, -73.95682699966632 40.81261200014371, -73.95626900001432 40.81337500025604, -73.95570700017787 40.81414399974582, -73.95520300031825 40.81355400041679, -73.95408099983825 40.81228000012192, -73.95354400025541 40.81205100035344, -73.95210100026098 40.81144200014825))",0,0
